,Name,DropChance,Price,ValueProposition,Volume,Faction
0,Melee_Fortification,22.5,21.6,4.86,0.5,Cavia
1,Melee_Retaliation,22.5,18.2,4.095,0.4166666666666667,Cavia
2,Melee_Animosity,12.5,60.8,7.6,0.4583333333333333,Cavia
3,Melee_Exposure,12.5,83.0,10.375,3.3541666666666665,Cavia
4,Melee_Influence,12.5,66.0,8.25,7.4375,Cavia
5,Melee_Vortex,12.5,63.6,7.95,0.7291666666666666,Cavia
6,Melee_Crescendo,2.5,136.8,3.4200000000000004,1.875,Cavia
7,Melee_Duplicate,2.5,221.8,5.545,1.7291666666666667,Cavia
8,Arcane_Intention,22.5,21.0,4.725,0.2916666666666667,Duviri
9,Magus_Aggress,22.5,21.8,4.905,0.041666666666666664,Duviri
10,Arcane_Power_Ramp,12.5,179.8,22.475,0.6041666666666666,Duviri
11,Primary_Blight,12.5,52.0,6.5,3.125,Duviri
12,Primary_Exhilarate,12.5,100.8,12.6,0.22916666666666666,Duviri
13,Primary_Obstruct,12.5,58.6,7.324999999999999,0.14583333333333334,Duviri
14,Shotgun_Vendetta,12.5,141.8,17.725,1.0833333333333333,Duviri
15,Akimbo_Slip_Shot,12.5,45.8,5.725,0.125,Duviri
16,Secondary_Outburst,12.5,103.4,12.925,1.2291666666666667,Duviri
17,Arcane_Reaper,2.5,358.6,8.965,0.7916666666666666,Duviri
18,Longbow_Sharpshot,2.5,250.2,6.254999999999999,0.4583333333333333,Duviri
19,Secondary_Shiver,2.5,107.0,2.6750000000000003,0.3125,Duviri
20,Arcane_Consequence,6.67,37.6,2.50792,0.3958333333333333,Eidolon
21,Arcane_Ice,6.67,26.8,1.78756,0.14583333333333334,Eidolon
22,Arcane_Momentum,6.67,26.8,1.78756,0.14583333333333334,Eidolon
23,Arcane_Nullifier,6.67,72.2,4.81574,0.75,Eidolon
24,Arcane_Tempo,6.67,32.6,2.17442,0.375,Eidolon
25,Arcane_Warmth,6.67,23.4,1.5607799999999998,0.020833333333333332,Eidolon
26,Arcane_Acceleration,2.69,53.6,1.44184,1.5208333333333333,Eidolon
27,Arcane_Agility,2.69,30.6,0.82314,0.4375,Eidolon
28,Arcane_Awakening,2.69,28.0,0.7532000000000001,0.75,Eidolon
29,Arcane_Deflection,2.69,44.6,1.19974,0.0625,Eidolon
30,Arcane_Eruption,2.69,33.4,0.8984599999999999,0.25,Eidolon
31,Arcane_Guardian,2.69,57.0,1.5332999999999999,2.0833333333333335,Eidolon
32,Arcane_Healing,2.69,32.2,0.8661800000000001,0.041666666666666664,Eidolon
33,Arcane_Phantasm,2.69,24.2,0.65098,0.0625,Eidolon
34,Arcane_Strike,2.69,73.8,1.98522,2.5833333333333335,Eidolon
35,Arcane_Resistance,2.69,140.4,3.7767600000000003,0.25,Eidolon
36,Arcane_Trickery,2.69,36.8,0.9899199999999999,0.3333333333333333,Eidolon
37,Arcane_Velocity,2.69,147.4,3.96506,3.4791666666666665,Eidolon
38,Arcane_Victory,2.69,15.8,0.42502,0.08333333333333333,Eidolon
39,Arcane_Aegis,2.5,197.4,4.935,3.9791666666666665,Eidolon
40,Arcane_Arachne,2.5,72.0,1.7999999999999998,1.7916666666666667,Eidolon
41,Arcane_Avenger,2.5,87.0,2.175,4.5,Eidolon
42,Arcane_Fury,2.5,118.0,2.9499999999999997,4.375,Eidolon
43,Arcane_Precision,2.5,111.8,2.795,2.625,Eidolon
44,Arcane_Pulse,2.5,19.4,0.48499999999999993,0.125,Eidolon
45,Arcane_Rage,2.5,40.6,1.0150000000000001,1.0833333333333333,Eidolon
46,Arcane_Ultimatum,2.5,26.6,0.665,0.16666666666666666,Eidolon
47,Arcane_Barrier,1.67,69.8,1.16566,0.3125,Eidolon
48,Arcane_Energize,1.67,227.0,3.7908999999999997,5.833333333333333,Eidolon
49,Arcane_Grace,1.67,115.8,1.9338599999999997,0.6458333333333334,Eidolon
50,Arcane_Blessing,5.263,25.4,1.336802,1.6458333333333333,Holdfasts
51,Arcane_Rise,5.263,28.4,1.494692,0.3958333333333333,Holdfasts
52,Molt_Augmented,5.263,49.0,2.5788699999999998,9.916666666666666,Holdfasts
53,Molt_Efficiency,5.263,47.6,2.505188,5.333333333333333,Holdfasts
54,Molt_Reconstruct,5.263,28.0,1.47364,1.7291666666666667,Holdfasts
55,Molt_Vigor,5.263,23.8,1.252594,1.1041666666666667,Holdfasts
56,Fractalized_Reset,5.263,20.0,1.0526,0.3125,Holdfasts
57,Primary_Frostbite,5.263,23.0,1.21049,2.5416666666666665,Holdfasts
58,Cascadia_Accuracy,5.263,12.0,0.63156,0.16666666666666666,Holdfasts
59,Cascadia_Empowered,5.263,16.8,0.8841840000000001,0.25,Holdfasts
60,Cascadia_Flare,5.263,36.8,1.9367839999999998,3.8125,Holdfasts
61,Cascadia_Overcharge,5.263,36.2,1.9052060000000002,1.0625,Holdfasts
62,Conjunction_Voltage,5.263,21.4,1.126282,0.4375,Holdfasts
63,Emergence_Dissipate,5.263,13.0,0.68419,0.10416666666666667,Holdfasts
64,Emergence_Renewed,5.263,15.0,0.78945,0.16666666666666666,Holdfasts
65,Emergence_Savior,5.263,14.6,0.7683979999999999,0.20833333333333334,Holdfasts
66,Eternal_Eradicate,5.263,28.6,1.5052180000000002,0.9791666666666666,Holdfasts
67,Eternal_Logistics,5.263,14.2,0.747346,0.20833333333333334,Holdfasts
68,Eternal_Onslaught,5.263,30.0,1.5789,0.6875,Holdfasts
69,Arcane_Double_Back,8.33,270.0,22.491000000000003,0.20833333333333334,Necralisk
70,Arcane_Steadfast,8.33,214.0,17.8262,1.2916666666666667,Necralisk
71,Theorem_Contagion,8.33,118.33333333333333,9.857166666666666,0.020833333333333332,Necralisk
72,Theorem_Demulcent,8.33,123.75,10.308375,0.0,Necralisk
73,Theorem_Infection,8.33,254.6,21.20818,0.4791666666666667,Necralisk
